Key,Summary,Description,Type,Priority,Component,Test Mode
VWO-01510,Verify Single Page App : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Single Page App functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Single Page App section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-8301
Story Points: 4
Estimate: 7 hours
",Regression,Trivial,Analytics,Automated
VWO-01511,Verify Form Submissions : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Form Submissions functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Form Submissions section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: User is redirected to dashboard

Related Jira: VWO-1844
Story Points: 10
Estimate: 5 hours
",Integration,Trivial,Security,Manual
VWO-01512,Verify User Consent : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that User Consent functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to User Consent section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Campaign is created and saved

Related Jira: VWO-2722
Story Points: 7
Estimate: 7 hours
",Regression,Major,Integrations,Automated
VWO-01513,Verify Survey : User is correctly records user sessions,"
Description:
As a VWO user
I want to verify that Survey functionality works correctly
So that I can correctly records user sessions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Survey section
2. Perform action: correctly records user sessions
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-1036
Story Points: 7
Estimate: 8 hours
",Smoke,Trivial,Mobile,Manual
VWO-01514,Verify Device Targeting : User is able to edit existing campaign,"
Description:
As a VWO user
I want to verify that Device Targeting functionality works correctly
So that I can able to edit existing campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Device Targeting section
2. Perform action: able to edit existing campaign
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-4140
Story Points: 2
Estimate: 2 hours
",UX,Trivial,Editor,Automated
VWO-01515,Verify Power Analyzer : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Power Analyzer functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Power Analyzer section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-6197
Story Points: 11
Estimate: 8 hours
",Regression,Major,API,Automated
VWO-01516,Verify API Integration : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that API Integration functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to API Integration section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Traffic is distributed correctly

Related Jira: VWO-7970
Story Points: 2
Estimate: 1 hours
",Functional,Minor,Performance,Automated
VWO-01517,Verify Lazy Loading : User is correctly saves campaign changes,"
Description:
As a VWO user
I want to verify that Lazy Loading functionality works correctly
So that I can correctly saves campaign changes

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Lazy Loading section
2. Perform action: correctly saves campaign changes
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-3221
Story Points: 13
Estimate: 3 hours
",Performance,Blocker,Performance,Automated
VWO-01518,Verify Secondary Goal : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Secondary Goal functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Secondary Goal section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-1094
Story Points: 6
Estimate: 5 hours
",UX,Blocker,Integrations,Automated
VWO-01519,Verify Load Template : User is successfully loads with slow connection,"
Description:
As a VWO user
I want to verify that Load Template functionality works correctly
So that I can successfully loads with slow connection

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Load Template section
2. Perform action: successfully loads with slow connection
3. Verify the result

Expected Result: Analytics are displayed

Related Jira: VWO-4394
Story Points: 5
Estimate: 5 hours
",Integration,Major,API,Automated
VWO-01520,Verify Heatmaps : User is shows confirmation dialogs,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can shows confirmation dialogs

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: shows confirmation dialogs
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-2800
Story Points: 6
Estimate: 1 hours
",UX,Blocker,Analytics,Automated
VWO-01521,Verify Targeting Rules : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Targeting Rules functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Targeting Rules section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-1671
Story Points: 3
Estimate: 3 hours
",Smoke,Minor,Editor,Manual
VWO-01522,Verify Accelerated Mobile Pages : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Accelerated Mobile Pages functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Accelerated Mobile Pages section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-4828
Story Points: 13
Estimate: 1 hours
",Security,Trivial,Mobile,Automated
VWO-01523,Verify Right to be Forgotten : User is able to edit existing campaign,"
Description:
As a VWO user
I want to verify that Right to be Forgotten functionality works correctly
So that I can able to edit existing campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Right to be Forgotten section
2. Perform action: able to edit existing campaign
3. Verify the result

Expected Result: Revenue is tracked

Related Jira: VWO-5498
Story Points: 9
Estimate: 3 hours
",Performance,Blocker,Editor,Manual
VWO-01524,Verify Custom Audience : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that Custom Audience functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Custom Audience section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-5470
Story Points: 6
Estimate: 2 hours
",Performance,Minor,Editor,Manual
VWO-01525,Verify Campaign Archive : User is able to export reports,"
Description:
As a VWO user
I want to verify that Campaign Archive functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Campaign Archive section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Variation is displayed correctly

Related Jira: VWO-8629
Story Points: 10
Estimate: 7 hours
",Security,Major,Dashboard,Manual
VWO-01526,Verify Accelerated Mobile Pages : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Accelerated Mobile Pages functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Accelerated Mobile Pages section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Data is exported successfully

Related Jira: VWO-5940
Story Points: 5
Estimate: 2 hours
",Non-Functional,Minor,Core,Manual
VWO-01527,Verify Preview Mode : User is shows confirmation dialogs,"
Description:
As a VWO user
I want to verify that Preview Mode functionality works correctly
So that I can shows confirmation dialogs

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Preview Mode section
2. Perform action: shows confirmation dialogs
3. Verify the result

Expected Result: Data is exported successfully

Related Jira: VWO-9748
Story Points: 1
Estimate: 6 hours
",Functional,Trivial,Core,Automated
VWO-01528,Verify Import Variations : User is properly handles timeouts,"
Description:
As a VWO user
I want to verify that Import Variations functionality works correctly
So that I can properly handles timeouts

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Import Variations section
2. Perform action: properly handles timeouts
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-3761
Story Points: 7
Estimate: 2 hours
",Functional,Critical,API,Manual
VWO-01529,Verify Visual Editor : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Visual Editor functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Visual Editor section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Campaign changes are saved

Related Jira: VWO-5101
Story Points: 11
Estimate: 1 hours
",Security,Minor,Mobile,Manual
VWO-01530,Verify Secondary Goal : User is able to export reports,"
Description:
As a VWO user
I want to verify that Secondary Goal functionality works correctly
So that I can able to export reports

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Secondary Goal section
2. Perform action: able to export reports
3. Verify the result

Expected Result: Revenue is tracked

Related Jira: VWO-2173
Story Points: 2
Estimate: 6 hours
",Integration,Minor,API,Automated
VWO-01531,Verify SSO Login : User is displays loading indicators,"
Description:
As a VWO user
I want to verify that SSO Login functionality works correctly
So that I can displays loading indicators

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SSO Login section
2. Perform action: displays loading indicators
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-7501
Story Points: 4
Estimate: 3 hours
",Integration,Trivial,Performance,Manual
VWO-01532,Verify Split URL Test : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Split URL Test functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Split URL Test section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-7683
Story Points: 8
Estimate: 4 hours
",Performance,Critical,Dashboard,Manual
VWO-01533,Verify Account Merge : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Account Merge functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Account Merge section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-3604
Story Points: 4
Estimate: 1 hours
",Functional,Minor,Dashboard,Automated
VWO-01534,Verify Cookie Targeting : User is properly handles network errors,"
Description:
As a VWO user
I want to verify that Cookie Targeting functionality works correctly
So that I can properly handles network errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Cookie Targeting section
2. Perform action: properly handles network errors
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-6063
Story Points: 7
Estimate: 5 hours
",UX,Critical,Mobile,Automated
VWO-01535,Verify Resume Campaign : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Resume Campaign functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Resume Campaign section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-1412
Story Points: 10
Estimate: 7 hours
",Performance,Blocker,Mobile,Manual
VWO-01536,Verify GDPR Compliance : User is correctly displays dashboard,"
Description:
As a VWO user
I want to verify that GDPR Compliance functionality works correctly
So that I can correctly displays dashboard

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to GDPR Compliance section
2. Perform action: correctly displays dashboard
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-6296
Story Points: 9
Estimate: 2 hours
",Regression,Trivial,Mobile,Manual
VWO-01537,Verify Variations : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that Variations functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Variations section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-5365
Story Points: 4
Estimate: 1 hours
",Integration,Trivial,Performance,Manual
VWO-01538,Verify IP Anonymization : User is successfully loads with slow connection,"
Description:
As a VWO user
I want to verify that IP Anonymization functionality works correctly
So that I can successfully loads with slow connection

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to IP Anonymization section
2. Perform action: successfully loads with slow connection
3. Verify the result

Expected Result: Integration works correctly

Related Jira: VWO-4406
Story Points: 5
Estimate: 1 hours
",Functional,Trivial,Security,Automated
VWO-01539,Verify Meteor Compatibility : User is correctly saves campaign changes,"
Description:
As a VWO user
I want to verify that Meteor Compatibility functionality works correctly
So that I can correctly saves campaign changes

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Meteor Compatibility section
2. Perform action: correctly saves campaign changes
3. Verify the result

Expected Result: Variation is displayed correctly

Related Jira: VWO-1914
Story Points: 13
Estimate: 6 hours
",Smoke,Minor,API,Manual
VWO-01540,Verify Revenue Goal : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that Revenue Goal functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Revenue Goal section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Revenue is tracked

Related Jira: VWO-2988
Story Points: 7
Estimate: 6 hours
",UX,Minor,Core,Automated
VWO-01541,Verify California Compliance : User is correctly displays dashboard,"
Description:
As a VWO user
I want to verify that California Compliance functionality works correctly
So that I can correctly displays dashboard

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to California Compliance section
2. Perform action: correctly displays dashboard
3. Verify the result

Expected Result: Campaign changes are saved

Related Jira: VWO-5380
Story Points: 6
Estimate: 3 hours
",Smoke,Critical,Security,Automated
VWO-01542,Verify IP Anonymization : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that IP Anonymization functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to IP Anonymization section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Goals are tracked correctly

Related Jira: VWO-7155
Story Points: 3
Estimate: 6 hours
",Regression,Blocker,Mobile,Automated
VWO-01543,Verify Data Retention : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Data Retention functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Retention section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: User segment is applied

Related Jira: VWO-4819
Story Points: 5
Estimate: 3 hours
",Functional,Critical,Editor,Automated
VWO-01544,Verify Export Data : User is able to view analytics,"
Description:
As a VWO user
I want to verify that Export Data functionality works correctly
So that I can able to view analytics

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Export Data section
2. Perform action: able to view analytics
3. Verify the result

Expected Result: Team member receives invitation

Related Jira: VWO-3571
Story Points: 7
Estimate: 2 hours
",Performance,Major,Core,Automated
VWO-01545,Verify SLA : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that SLA functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SLA section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Correct content is shown

Related Jira: VWO-3215
Story Points: 9
Estimate: 5 hours
",UX,Critical,API,Automated
VWO-01546,Verify Billing : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Billing functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Billing section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-9214
Story Points: 8
Estimate: 5 hours
",Performance,Trivial,Core,Automated
VWO-01547,Verify SSO Login : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that SSO Login functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to SSO Login section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-6077
Story Points: 7
Estimate: 1 hours
",Performance,Critical,Core,Automated
VWO-01548,Verify Import Variations : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Import Variations functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Import Variations section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-4733
Story Points: 1
Estimate: 8 hours
",Performance,Critical,Performance,Automated
VWO-01549,Verify Heatmaps : User is able to set campaign goals,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can able to set campaign goals

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: able to set campaign goals
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-5428
Story Points: 10
Estimate: 2 hours
",UX,Trivial,Editor,Automated
VWO-01550,Verify A/B Test : User is displays loading indicators,"
Description:
As a VWO user
I want to verify that A/B Test functionality works correctly
So that I can displays loading indicators

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to A/B Test section
2. Perform action: displays loading indicators
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-7968
Story Points: 12
Estimate: 6 hours
",Regression,Major,Dashboard,Automated
VWO-01551,Verify Revenue Tracking : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Revenue Tracking functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Revenue Tracking section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-7281
Story Points: 8
Estimate: 5 hours
",UX,Blocker,Integrations,Manual
VWO-01552,Verify Custom Variables : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Custom Variables functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Custom Variables section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: Role permissions are applied

Related Jira: VWO-6058
Story Points: 6
Estimate: 5 hours
",Regression,Blocker,Integrations,Automated
VWO-01553,Verify JavaScript Editor : User is correctly shows variations to users,"
Description:
As a VWO user
I want to verify that JavaScript Editor functionality works correctly
So that I can correctly shows variations to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to JavaScript Editor section
2. Perform action: correctly shows variations to users
3. Verify the result

Expected Result: User is shown error message

Related Jira: VWO-1764
Story Points: 10
Estimate: 6 hours
",Smoke,Critical,API,Automated
VWO-01554,Verify Form Submissions : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Form Submissions functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Form Submissions section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-5614
Story Points: 2
Estimate: 1 hours
",UX,Blocker,Security,Automated
VWO-01555,Verify Variations : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that Variations functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Variations section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-2776
Story Points: 11
Estimate: 4 hours
",Integration,Blocker,Mobile,Manual
VWO-01556,Verify Meteor Compatibility : User is correctly shows variations to users,"
Description:
As a VWO user
I want to verify that Meteor Compatibility functionality works correctly
So that I can correctly shows variations to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Meteor Compatibility section
2. Perform action: correctly shows variations to users
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-7428
Story Points: 8
Estimate: 4 hours
",Regression,Critical,Analytics,Manual
VWO-01557,Verify Data Migration : User is able to login with valid credentials,"
Description:
As a VWO user
I want to verify that Data Migration functionality works correctly
So that I can able to login with valid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Migration section
2. Perform action: able to login with valid credentials
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-3163
Story Points: 10
Estimate: 2 hours
",Smoke,Blocker,Integrations,Automated
VWO-01558,Verify Data Export : User is correctly tracks revenue,"
Description:
As a VWO user
I want to verify that Data Export functionality works correctly
So that I can correctly tracks revenue

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Data Export section
2. Perform action: correctly tracks revenue
3. Verify the result

Expected Result: Session recording is saved

Related Jira: VWO-2862
Story Points: 11
Estimate: 7 hours
",Smoke,Trivial,Editor,Automated
VWO-01559,Verify JavaScript Editor : User is able to set up webhooks,"
Description:
As a VWO user
I want to verify that JavaScript Editor functionality works correctly
So that I can able to set up webhooks

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to JavaScript Editor section
2. Perform action: able to set up webhooks
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-5648
Story Points: 6
Estimate: 6 hours
",Functional,Minor,Integrations,Manual
VWO-01560,Verify Maintenance : User is able to delete campaign,"
Description:
As a VWO user
I want to verify that Maintenance functionality works correctly
So that I can able to delete campaign

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Maintenance section
2. Perform action: able to delete campaign
3. Verify the result

Expected Result: Dashboard loads correctly

Related Jira: VWO-8079
Story Points: 11
Estimate: 7 hours
",UX,Minor,Analytics,Manual
VWO-01561,Verify EU Compliance : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that EU Compliance functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to EU Compliance section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Statistical significance is calculated

Related Jira: VWO-5895
Story Points: 9
Estimate: 1 hours
",Integration,Major,Dashboard,Automated
VWO-01562,Verify Right to be Forgotten : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Right to be Forgotten functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Right to be Forgotten section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Notification is sent

Related Jira: VWO-2817
Story Points: 12
Estimate: 1 hours
",Non-Functional,Trivial,Security,Automated
VWO-01563,Verify Header : User is displays appropriate error messages,"
Description:
As a VWO user
I want to verify that Header functionality works correctly
So that I can displays appropriate error messages

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Header section
2. Perform action: displays appropriate error messages
3. Verify the result

Expected Result: Conversion is recorded

Related Jira: VWO-7178
Story Points: 11
Estimate: 4 hours
",Smoke,Minor,Performance,Automated
VWO-01564,Verify  AMP Pages : User is able to set targeting rules,"
Description:
As a VWO user
I want to verify that  AMP Pages functionality works correctly
So that I can able to set targeting rules

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to  AMP Pages section
2. Perform action: able to set targeting rules
3. Verify the result

Expected Result: Webhook is triggered correctly

Related Jira: VWO-4991
Story Points: 12
Estimate: 8 hours
",Integration,Critical,Dashboard,Manual
VWO-01565,Verify Uptime : User is correctly saves campaign changes,"
Description:
As a VWO user
I want to verify that Uptime functionality works correctly
So that I can correctly saves campaign changes

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Uptime section
2. Perform action: correctly saves campaign changes
3. Verify the result

Expected Result: Data is displayed correctly

Related Jira: VWO-2394
Story Points: 3
Estimate: 7 hours
",Security,Critical,Security,Automated
VWO-01566,Verify Sample Size : User is able to integrate with API,"
Description:
As a VWO user
I want to verify that Sample Size functionality works correctly
So that I can able to integrate with API

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Sample Size section
2. Perform action: able to integrate with API
3. Verify the result

Expected Result: Success message is displayed

Related Jira: VWO-6103
Story Points: 6
Estimate: 8 hours
",Smoke,Major,Core,Automated
VWO-01567,Verify Heatmaps : User is shows correct validation errors,"
Description:
As a VWO user
I want to verify that Heatmaps functionality works correctly
So that I can shows correct validation errors

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Heatmaps section
2. Perform action: shows correct validation errors
3. Verify the result

Expected Result: Targeting rules are applied

Related Jira: VWO-1351
Story Points: 11
Estimate: 1 hours
",Non-Functional,Minor,Editor,Automated
VWO-01568,Verify Page Load Speed : User is able to login with invalid credentials,"
Description:
As a VWO user
I want to verify that Page Load Speed functionality works correctly
So that I can able to login with invalid credentials

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Page Load Speed section
2. Perform action: able to login with invalid credentials
3. Verify the result

Expected Result: Campaign is created and saved

Related Jira: VWO-5820
Story Points: 13
Estimate: 8 hours
",Smoke,Major,Analytics,Manual
VWO-01569,Verify Downtime : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that Downtime functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Downtime section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Traffic is distributed correctly

Related Jira: VWO-7852
Story Points: 12
Estimate: 5 hours
",Security,Major,Dashboard,Manual
VWO-01570,Verify IP Anonymization : User is able to configure notifications,"
Description:
As a VWO user
I want to verify that IP Anonymization functionality works correctly
So that I can able to configure notifications

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to IP Anonymization section
2. Perform action: able to configure notifications
3. Verify the result

Expected Result: Revenue is tracked

Related Jira: VWO-8637
Story Points: 5
Estimate: 8 hours
",UX,Blocker,Security,Automated
VWO-01571,Verify PWA : User is able to configure traffic allocation,"
Description:
As a VWO user
I want to verify that PWA functionality works correctly
So that I can able to configure traffic allocation

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to PWA section
2. Perform action: able to configure traffic allocation
3. Verify the result

Expected Result: Traffic is distributed correctly

Related Jira: VWO-7134
Story Points: 13
Estimate: 2 hours
",UX,Trivial,API,Automated
VWO-01572,Verify Session Recordings : User is correctly tracks conversions,"
Description:
As a VWO user
I want to verify that Session Recordings functionality works correctly
So that I can correctly tracks conversions

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to Session Recordings section
2. Perform action: correctly tracks conversions
3. Verify the result

Expected Result: Heatmap is generated

Related Jira: VWO-8694
Story Points: 12
Estimate: 8 hours
",UX,Major,Security,Manual
VWO-01573,Verify NPS Score : User is properly handles session expiry,"
Description:
As a VWO user
I want to verify that NPS Score functionality works correctly
So that I can properly handles session expiry

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to NPS Score section
2. Perform action: properly handles session expiry
3. Verify the result

Expected Result: Error message is displayed

Related Jira: VWO-2412
Story Points: 2
Estimate: 3 hours
",Integration,Critical,Mobile,Automated
VWO-01574,Verify California Compliance : User is able to assign roles to users,"
Description:
As a VWO user
I want to verify that California Compliance functionality works correctly
So that I can able to assign roles to users

Preconditions:
1. User is logged in to VWO
2. Campaign is created

Test Steps:
1. Navigate to California Compliance section
2. Perform action: able to assign roles to users
3. Verify the result

Expected Result: Scroll depth is measured

Related Jira: VWO-4995
Story Points: 10
Estimate: 3 hours
",Performance,Blocker,Performance,Automated
